author1,author2,type,acc,L95,U95,p_baseline,p_lexico,t_lexico,t_baseline
Barbara Ellen,Gaby Hinsliff,lexico+voice+coref,0.9460119474313023,0.8745233102680582,1.0,6.518817013789283e-05,0.7365907403665664,0.3483168405025278,17.322021197266046
Barbara Ellen,Gaby Hinsliff,lexico+voice,0.9395742369935919,0.8835282077728135,0.9956202662143703,2.6312622568305416e-05,0.8298419249062281,0.22204561874967824,21.775918038087305
Barbara Ellen,Gaby Hinsliff,lexico+coref,0.9460119474313023,0.8745233102680582,1.0,6.518817013789283e-05,0.7365907403665664,0.3483168405025278,17.322021197266046
Barbara Ellen,Ian Jack,lexico_syntactic,0.9964285714285716,0.9865126960528651,1.0,1.6067274444573324e-08,1.0,0.0,138.99999999999966
Barbara Ellen,Ian Jack,coref,0.7239479026720407,0.6621711802039351,0.7857246251401463,0.0005480913751509719,2.0233866773863824e-06,-12.091389438838378,10.064940860436808
Barbara Ellen,Ian Jack,voice,0.7190858337065235,0.6669511289658591,0.7712205384471879,0.00030851091713108534,4.984165071505424e-07,-14.509833226298685,11.667463998088131
Barbara Ellen,Ian Jack,coref+voice,0.764455291834602,0.7097296046494878,0.8191809790197163,0.00017849891667173388,2.810680967874861e-06,-11.580338873524543,13.416836559295968
Barbara Ellen,Ian Jack,lexico+voice+coref,0.9964285714285716,0.9865126960528651,1.0,1.6067274444573324e-08,1.0,0.0,138.99999999999966
Barbara Ellen,Ian Jack,lexico+voice,0.9964285714285716,0.9865126960528651,1.0,1.6067274444573324e-08,1.0,0.0,138.99999999999966
Barbara Ellen,Ian Jack,lexico+coref,1.0,1.0,1.0,0.0,0.34659350708735126,0.9999999999999626,inf
Barbara Ellen,John Harris,lexico_syntactic,0.9965517241379309,0.9869777754993178,1.0,1.3949597231074297e-08,1.0,0.0,143.9999999999997
Barbara Ellen,John Harris,coref,0.6883116883116883,0.5829921654682155,0.7936312111551611,0.007682597612516211,4.019657044464702e-05,-8.092491099446521,4.964293904384354
Barbara Ellen,John Harris,voice,0.6823835647111509,0.48997417017704065,0.8747929592452612,0.05807822453729558,0.0019299355112481927,-4.527808180619945,2.631773551062396
Barbara Ellen,John Harris,coref+voice,0.7151216599492461,0.6372150753115419,0.7930282445869504,0.0015560846142212937,8.780391430215966e-06,-9.954755050062165,7.6665339979369165
Barbara Ellen,John Harris,lexico+voice+coref,0.9822660098522167,0.9438604675322383,1.0,4.038738126843827e-06,0.34564429450709955,-1.0020873736743745,34.8643716915026
Barbara Ellen,John Harris,lexico+voice,0.9965517241379309,0.9869777754993178,1.0,1.3949597231074297e-08,1.0,0.0,143.9999999999997
Barbara Ellen,John Harris,lexico+coref,0.9965517241379309,0.9869777754993178,1.0,1.3949597231074297e-08,1.0,0.0,143.9999999999997
Barbara Ellen,Jonathan Freedland,lexico_syntactic,0.9866575091575092,0.9753494134240399,0.9979656048909784,2.942092432591025e-08,1.0,0.0,119.48765654759727
Barbara Ellen,Jonathan Freedland,coref,0.599522077022077,0.5154863048070808,0.6835578492370733,0.030269607563082016,1.4102484747740244e-06,-12.676257993753088,3.2880947758787316
Barbara Ellen,Jonathan Freedland,voice,0.6059085734085734,0.5522467446534837,0.6595704021636631,0.005399768955706761,5.4411247657666125e-08,-19.276469965641265,5.479674231393493
Barbara Ellen,Jonathan Freedland,coref+voice,0.6365869715869715,0.4780245234671162,0.7951494197068268,0.07503301674587008,0.00028496689973881307,-6.114242978863696,2.3916522051285796
Barbara Ellen,Jonathan Freedland,lexico+voice+coref,0.987014652014652,0.9712664615728938,1.0,1.1029524312236675e-07,0.9604635728667825,0.05114548475927704,85.8618932598279
Barbara Ellen,Jonathan Freedland,lexico+voice,0.9866575091575092,0.9753494134240399,0.9979656048909784,2.942092432591025e-08,1.0,0.0,119.48765654759727
Barbara Ellen,Jonathan Freedland,lexico+coref,0.9866575091575092,0.9753494134240399,0.9979656048909784,2.942092432591025e-08,1.0,0.0,119.48765654759727
Barbara Ellen,Kevin McKenna,lexico_syntactic,0.9962962962962962,0.9860131662770452,1.0,1.860247930971945e-08,1.0,0.0,134.0000000000002
Barbara Ellen,Kevin McKenna,coref,0.6479433497536946,0.6283735536501103,0.6675131458572789,3.0451923896325774e-05,8.219918102890631e-11,-43.750061167557895,20.989313690140072
Barbara Ellen,Kevin McKenna,voice,0.6699110563765737,0.6034555133112156,0.7363665994419317,0.002079962600705651,8.818350289892299e-07,-13.47567060322218,7.0987113946502065
Barbara Ellen,Kevin McKenna,coref+voice,0.6683857872650977,0.5790898025190571,0.7576817720111383,0.0063595256967684255,7.714902742374334e-06,-10.12865464155964,5.235553380890265
Barbara Ellen,Kevin McKenna,lexico+voice+coref,0.9708994708994709,0.92140858614879,1.0,1.2202410419924987e-05,0.2005346535469604,-1.3949716649258268,26.41752188520086
Barbara Ellen,Kevin McKenna,lexico+voice,0.9962962962962962,0.9860131662770452,1.0,1.860247930971945e-08,1.0,0.0,134.0000000000002
Barbara Ellen,Kevin McKenna,lexico+coref,0.9962962962962962,0.9860131662770452,1.0,1.860247930971945e-08,1.0,0.0,134.0000000000002
Barbara Ellen,Marina Hyde,lexico_syntactic,0.9891341417203486,0.9767855011681182,1.0,4.0993993155795125e-08,1.0,0.0,109.97600001558833
Barbara Ellen,Marina Hyde,coref,0.619865479348238,0.5294389456821892,0.7102920130142868,0.021197728081276183,3.5390175206958354e-06,-11.233716564555358,3.680334852242103
Barbara Ellen,Marina Hyde,voice,0.6496109637488947,0.5449815715039655,0.7542403559938239,0.016537640351472014,1.9345466261198703e-05,-8.947484777355765,3.970075894277934
