author,type,acc,L95,U95,p_baseline,p_lexico,t_lexico,t_baseline
Oliver Burkeman,coref,0.6473183127806745,0.5320668210117618,0.7625698045495872,0.023821140960457433,0.8935385319582662,-0.13814656986505205,3.5489450257704123
Oliver Burkeman,voice,0.7111465496134006,0.6144591631832143,0.807833936043587,0.003736089341143032,0.37451230108850864,0.9404489782491193,6.06321905884617
Oliver Burkeman,coref+voice,0.6533786227686924,0.5374208334080056,0.7693364121293792,0.02134540490897879,0.967840441543447,-0.04159564586854477,3.6724339846072556
Oliver Burkeman,lexico+voice+coref,0.6445947684884735,0.6036588486407437,0.6855306883362033,0.000606014808963968,0.823314906369342,-0.2307310936577238,9.80702128351698
Oliver Burkeman,lexico+voice,0.6490943016198489,0.5145727480185134,0.7836158552211845,0.03703171743760117,0.9211835730598154,-0.10210844967985516,3.077217983759623
Oliver Burkeman,lexico+coref,0.7016788211447524,0.5839919616605236,0.8193656806289813,0.008918508676251354,0.49188881960348796,0.7202282173245373,4.75796684730506
Paul Mason,lexico_syntactic,0.8672116740021417,0.7420183496133886,0.9924049983908948,0.0012371194505550868,1.0,0.0,8.143749355906776
Paul Mason,coref,0.6849887580405005,0.6065197779476019,0.7634577381333991,0.0028162805324688936,0.009031932398167616,-3.4241892694058667,6.545403434199202
Paul Mason,voice,0.5928861944717166,0.5013426395699127,0.6844297493735206,0.04796605372141216,0.0011773808777523096,-4.910947348139898,2.8171663232663717
Paul Mason,coref+voice,0.6463365990416392,0.595110181020257,0.6975630170630214,0.0013679817224053498,0.0019153555197254498,-4.533564016421265,7.9313672478693
Paul Mason,lexico+voice+coref,0.8659647691642638,0.7388557144008938,0.9930738239276338,0.0013278226768425351,0.984993619911768,-0.019404548145420114,7.993774274480518
Paul Mason,lexico+voice,0.8562579268075361,0.7958617811863613,0.9166540724287109,8.136834541530511e-05,0.8322887879474634,-0.21879444817015276,16.37737916715521
Paul Mason,lexico+coref,0.8051913664318979,0.6741004639543475,0.9362822689094483,0.002950475295033679,0.36994862653069216,-0.9499509196471798,6.463812968436776
Simon Jenkins,lexico_syntactic,0.940380748882222,0.9085040881350185,0.9722574096294255,2.7593546346425573e-06,1.0,0.0,38.35699681199041
Simon Jenkins,coref,0.6820649380433499,0.5972682157999017,0.766861660286798,0.0039758248479339255,4.7070936123197787e-05,-7.916957234661629,5.961236386087509
Simon Jenkins,voice,0.6420865581675195,0.5992905670379949,0.6848825492970441,0.0007696044995141057,2.957856338526075e-07,-15.520045665251423,9.21804866592873
Simon Jenkins,coref+voice,0.7136869084921892,0.6467327429584351,0.7806410740259433,0.0008957592837608485,2.8453185382940956e-05,-8.487654066098031,8.861136068209056
Simon Jenkins,lexico+voice+coref,0.9305882659403553,0.8958117688964741,0.9653647629842365,4.2721200453763375e-06,0.5802457131530285,-0.5763224728758088,34.376799992742626
Simon Jenkins,lexico+voice,0.9324261379397235,0.9245895575322688,0.9402627183471782,1.0887550255132286e-08,0.5200252451833003,-0.6728103216531949,153.20552736244855
Simon Jenkins,lexico+coref,0.9346158894764589,0.9032128294698236,0.9660189494830942,2.739693870861927e-06,0.7298231398051883,-0.3576976543582114,38.42578266968679
Suzanne Moore,lexico_syntactic,0.8887400304432133,0.8488379887040156,0.9286420721824109,1.110686376678015e-05,1.0,0.0,27.049126001445682
Suzanne Moore,coref,0.6058367493429829,0.5293270881677371,0.6823464105182288,0.01844865343461555,1.7047315956661216e-05,-9.102662513901251,3.8406904454890514
Suzanne Moore,voice,0.6516005290990374,0.5881316631316931,0.7150693950663818,0.0026823306742403586,2.217886920986457e-05,-8.782267900935855,6.631764102717443
Suzanne Moore,coref+voice,0.6221835969266856,0.5238274934499413,0.7205397004034299,0.02607685928221638,0.00011577220062427609,-6.972548371964033,3.4490594648533146
